long,lat
-8.35751,39.46432
7.7644,47.441812
7.143061,47.344447
-5.34839,37.46221
-1.91284,39.26531
-5.34839,37.46221
-6.09505,39.21348
-7.93511,37.01536
-4.42593,41.66027
-6.09505,39.21348
-7.49188,39.82389
-8.35751,39.46432
-8.40726,41.56321
-8.51945,38.371132
-7.86523,38.01563
-9.01226,38.54013
-3.70034,40.41669
15.018006,56.278384
16.356779,56.663445
4.39931,51.22056
3.83069,51.03691
-4.00145,43.13623
1.74601,41.69215
8.10792,58.87995
7.28199,58.57295
12.61338,49.99423
14.42046,50.08781
8.541694,47.376887
7.447447,46.947974
8.309307,47.050168
8.652988,47.020714
7.161972,46.806477
9.376717,47.424482
9.578026,46.656987
6.536765,46.561313
3.83069,51.03691
-8.65362,40.64119
-8.4229,41.55176
-8.4292,40.21149
-7.16383,38.8811
-7.26785,40.53713
-8.80724,39.7443
-7.43235,39.2914
-47.93976,-18.17611
-7.08937,40.35194
-8.83016,41.69457
-7.74635,41.2959
-7.91428,40.65755
-1.91284,39.26531
-8.01626,42.7991
-2.40706,42.28161
-2.58986,42.96435
3.62187,50.60045
5.21784,50.59789
5.50155,49.96391
3.03454,51.03917
13.34705,50.08545
10.97193,49.03103
8.80708,53.07498
9.28414,51.04599
12.50304,53.89737
9.12621,52.59334
7.66398,51.427
11.87384,51.98975
9.58903,54.20832
10.45449,51.20721
6.51621,52.85776
5.5366,52.54676
5.91333,52.12782
6.42529,52.48613
-4.00145,43.13623
12.803399,56.896681
18.643501,60.128161
13.595769,55.990257
8.255429,47.387666
7.532291,47.208835
7.31024,49.95449
9.547967,54.340748
-7.9096,38.57098
-1.8828,40.84282
-5.87172,43.5235
-1.61241,42.61272
6.42529,52.48613
5.91333,52.12782
16.87669,49.15301
9.00354,48.66171
12.56249,52.40842
14.5972,51.00863
-5.34839,37.46221
14.411467,56.71834
6.143158,46.204391
8.638049,47.69589
7.544923,46.190461
10.06427,56.93767
4.55561,50.66636
4.86506,50.46492
12.61338,49.994228
8.515495,47.166167
9.300092,47.366481
9.12621,52.59334
4.35571,50.84554
13.34705,50.085449
6.88066,49.37566
5.99967,53.32522
5.89651,51.26447
5.11875,51.52584
4.92602,52.68983
5.12275,52.09126
4.37498,51.98857
7.592768,47.561925
-1.17432,52.355518
11.471051,55.576986
-7.93511,37.01536
3.78859,51.48702
6.42529,52.48613
