long,lat
7.7644,47.441812
7.143061,47.344447
15.018006,56.278384
16.356779,56.663445
4.39931,51.22056
3.83069,51.03691
8.10792,58.87995
7.28199,58.57295
12.61338,49.99423
14.42046,50.08781
8.541694,47.376887
7.447447,46.947974
8.309307,47.050168
8.652988,47.020714
7.161972,46.806477
9.376717,47.424482
9.578026,46.656987
6.536765,46.561313
3.62187,50.60045
5.21784,50.59789
5.50155,49.96391
3.03454,51.03917
13.34705,50.08545
10.97193,49.03103
8.80708,53.07498
9.28414,51.04599
12.50304,53.89737
9.12621,52.59334
7.66398,51.427
11.87384,51.98975
9.58903,54.20832
10.45449,51.20721
6.51621,52.85776
5.5366,52.54676
5.91333,52.12782
6.42529,52.48613
-4.00145,43.13623
12.803399,56.896681
18.643501,60.128161
13.595769,55.990257
8.255429,47.387666
7.532291,47.208835
7.31024,49.95449
9.547967,54.340748
16.87669,49.15301
9.00354,48.66171
12.56249,52.40842
14.5972,51.00863
-5.34839,37.46221
14.411467,56.71834
6.143158,46.204391
8.638049,47.69589
7.544923,46.190461
10.06427,56.93767
4.55561,50.66636
4.86506,50.46492
12.61338,49.994228
8.515495,47.166167
9.300092,47.366481
4.35571,50.84554
13.34705,50.085449
6.88066,49.37566
5.99967,53.32522
5.89651,51.26447
5.11875,51.52584
4.92602,52.68983
5.12275,52.09126
4.37498,51.98857
7.592768,47.561925
-1.17432,52.355518
11.471051,55.576986
3.78859,51.48702
7.16,47.47
7.17,47.42
7.01,47.49
7.45,47.32
7.19,47.35
7.17,47.31
7.14,47.28
7.2,47.33
7.07,47.34
6.38,46.56
8.13,48.66
6.56,46.61
7.28,47.42
6.25,46.6
7.84,47.32
7.83,47.38
7.69,46.97
7.83,47.23
8.25,47.45
8,46.94
7.51,47.38
7.32,47.41
7.54,47.41
7.6,47.41
6.9,47.37
7.79,47.27
7.58,47.43
7.88,46.91
7.96,46.94
8.06,46.86
7.86,46.87
8.45,47.25
7.65,47.39
9.8,46.77
7.57,47.46
8.37,47.27
9.17,46.69
9.16,46.76
6.38,46.73
6.51,46.73
6.69,46.77
7.96,47.08
8.24,47.11
6.8,46.77
7.8,47.38
7.48,47.42
7.96,47.06
7.68,46.97
7.61,47.08
7.77,47.15
7.6,47.06
6.92,47.13
6.84,47.09
7.63,47.48
7.81,47.04
7.75,46.9
7.91,46.97
7.99,47.28
8.05,47.55
7.96,47.1
8.77,47.47
7.52,47.45
7.73,47.34
7.39,47.42
7.4,47.43
6.76,47.03
7.62,47.4
7.71,47.32
7.89,47.49
7.51,47.39
8.01,46.96
7.79,46.92
7.72,46.99
7.96,47.52
7.15,47.48
7.07,47.33
7.17,47.36
7.77,47.4
3.827619,46.631706
4.771038,46.461829
4.548025,48.316911
6.397096,47.231908
5.335637,46.161401
5.73893,46.84486
5.929032,46.904435
5.570168,46.469118
5.985511,46.507571
4.3214,46.1003
5.477423,46.338108
3.194485,46.700081
1.704148,44.806104
5.348506,45.345861
6.817022,46.248777
4.386648,46.073875
4.27209,45.943057
3.389824,45.715969
4.26116,47.084456
5.022054,47.550434
4.808375,47.681951
4.706854,47.91191
4.285617,48.216746
6.580808,47.710996
6.41298,47.901408
6.160579,47.434481
7.447,47.5818
5.445085,47.758989
5.438836,47.919432
5.435534,47.972671
6.576118,47.375894
4.070443,47.804627
3.033353,47.882663
3.374624,47.686788
3.824982,47.942859
3.82161,47.984052
-1.383365,46.832733
4.131065,45.139464
4.03377,45.7956
5.488194,46.389778
2.166484,45.950872
4.13952,48.055038
3.977708,47.841055
2.68828,43.69723
5.286941,47.11964
4.616739,47.348564
4.323491,46.049066
1.464997,44.79324
6.34354,47.289664
6.31063,47.071705
4.652399,45.839204
5.885416,45.461727
2.116955,44.588557
3.524282,46.451262
5.396609,46.937265
5.898031,46.745113
5.899274,46.876481
5.829404,46.647375
5.734424,46.700077
6.245613,47.397863
5.822052,46.220572
5.079032,47.880009
3.846463,48.048431
4.040049,47.580575
5.894141,48.045636
6.490675,47.559816
3.301518,46.775096
3.092567,46.984012
4.158695,48.14914
4.098894,48.069629
3.96,48.04683
4.144866,46.040264
4.225665,46.032681
5.884466,47.235553
6.287643,47.411344
6.705995,47.3444
6.488393,47.276337
4.871404,47.66246
4.519904,47.889521
4.49525,47.755441
2.430229,47.562258
2.657288,44.901948
4.463584,45.800311
3.692305,47.897971
2.211421,44.655674
4.518942,47.509213
4.647654,47.529134
4.259224,47.56251
4.409383,47.346284
4.41932,46.076757
5.37824,46.142471
4.266478,47.940487
4.379696,48.164165
3.283857,44.870466
5.824937,46.858167
5.548123,46.361027
6.074478,46.770902
6.14473,46.77578
5.90833,46.534504
5.898927,47.011834
5.552419,47.030203
5.873521,46.827757
5.66918,46.688766
0.395885,45.19966
-0.800254,47.454648
6.430158,47.202697
4.498094,48.097795
2.305274,46.808052
