long,lat
-5.34839,37.46221
-4.42593,41.66027
-6.09505,39.21348
-7.49188,39.82389
-8.35751,39.46432
-8.40726,41.56321
-8.51945,38.371132
-7.86523,38.01563
-9.01226,38.54013
-3.70034,40.41669
-4.00145,43.13623
1.74601,41.69215
-8.65362,40.64119
-8.4229,41.55176
-8.4292,40.21149
-7.16383,38.8811
-7.26785,40.53713
-8.80724,39.7443
-7.43235,39.2914
-47.93976,-18.17611
-7.08937,40.35194
-8.83016,41.69457
-7.74635,41.2959
-7.91428,40.65755
-1.91284,39.26531
-8.01626,42.7991
-2.40706,42.28161
-2.58986,42.96435
-7.9096,38.57098
-1.8828,40.84282
-5.87172,43.5235
-1.61241,42.61272
-7.93511,37.01536
6.42529,52.48613
16.8319,42.7464
16.9247,42.7556
16.8369,42.7478
16.8372,42.7483
16.9017,42.7606
16.8281,42.7361
16.8656,42.7428
16.8769,42.7511
12.49,41.99
16.15,38.53
13.1,41.74
16.79,39.05
16.83,39.02
16.78,38.96
16.78,38.98
13.358,41.697
13.03,41.82
13.05,41.81
16.75,38.91
13.23,41.8
13.13,41.78
13.28,41.7
13.15,41.76
16.83,38.95
13.11,41.71
13.33,41.74
16.58,38.99
15.63,40.18
13.23,41.78
13.37,41.71
12.51,42.76
16.34,40.08
13.32,42.02
15.28,40.62
12.61,42.09
13.12,41.73
16.81,39.09
16.18,39.28
12.45,42.77
13.58,42.32
16.5,38.86
13.08,41.93
15.26,40.86
12.63,42.3
12.47,42.72
12.49,42.74
12.65,42.38
12.56,42.3
12.68,42.39
12.59,42.33
12.49,42.34
12.66,42.24
12.52,42.32
16.44,38.93
12.67,42.38
16.51,40.31
13.56,41.78
12.6,42.33
12.96,41.52
13.63,41.87
12.55,42.73
13.52,42.85
12.55,42.35
13.71,43.12
12.49,42.38
12.7,42.88
12.66,42.38
16.21,39.34
13.26,41.5
16.11,40.94
16.12,40.93
16.11,40.92
13.34,42.01
16.25,39.37
13.18,41.5
13.4,43.42
12.62,42.29
15.9,39.87
12.54,42.71
12.75,43.54
13.14,42.24
12.66,42.23
16.48,39.08
13.96,41.43
13.08,42.77
12.24,42.26
13.55,42.03
12.59,42.31
12.72,42.25
16.58,39.6
12.67,42.31
12.69,42.4
15.27,40.83
12.28,42.44
12.23,42.46
15.17,40.95
15.04,40.39
13.08,42.04
12.67,42.26
13.71,42.77
12.54,42.72
16.35,39.19
16.25,39.74
15.29,40.72
12.42,42.97
15.5,40.71
16.02,39.44
16.74,40.53
15.63,41.08
16.37,40.86
15.75,40.73
16.78,40.49
16.77,40.51
12.11,42.48
16.31,39.8
13.698921,42.658533
16.59,40.23
12.77,42.06
12.16,42.22
13.96,41.4
12.15,42.44
15.62,41.04
12.71,42.05
11.93,42.45
13.92,42.3
12.9,42.83
16.19,39.63
15.71,40.16
11.87,42.41
13.23,41.79
12.45,42.74
12.18,42.62
12.66,42.41
12.13,42.63
15.6675,43.7967
12.72,42.24
13.87,42.24
12.66,42.4
12.48,43.11
12.41,41.95
13.29,42.04
11.97,42.73
16.18,39.58
16.15,39.53
12.72,41.86
12.55,42.32
12.53,42.69
16.19,39.28
12.17,42.64
12.08,42.63
14.58,41.79
11.29,42.81
11.76,42.72
11.97,42.51
14.03,42.24
16.7,41.1
16.08,39.23
14.73,40.78
13.71,43
13.88,42.04
12.6,43.18
15.25,41.73
15.15,41.44
16.1,39.11
16.17,39.68
13.52,42.32
15.88,40.86
14.88,40.68
16.02,39.63
12.51,42.64
12.07,42.81
12.23,42.23
